支払日,銘柄,配当金額(USD),源泉徴収(USD),為替レート,配当金額(円),源泉徴収(円),種別
2025-01-02,NKE,5.34,-0.53,157.00,838,-83,DIVIDEND
2025-01-07,BKCH,229.07,-22.91,157.66,"36,115","-3,612",DIVIDEND
2025-01-16,DIS,7.52,-0.75,156.21,"1,175",-117,DIVIDEND
2025-02-05,BNDX,11.94,-1.19,152.80,"1,824",-182,DIVIDEND
2025-02-06,TLT,15.60,-1.56,152.46,"2,378",-238,DIVIDEND
2025-02-06,AGG,21.19,-2.12,152.46,"3,231",-323,DIVIDEND
2025-02-06,EMLC,26.65,,152.46,"4,063",,DIVIDEND
2025-03-05,BNDX,11.03,-1.10,149.70,"1,651",-165,DIVIDEND
2025-03-06,TLT,14.48,-1.45,147.50,"2,136",-214,DIVIDEND
2025-03-06,EMLC,25.39,,147.50,"3,745",,DIVIDEND
2025-03-06,AGG,20.00,-2.00,147.50,"2,950",-295,DIVIDEND
2025-03-21,HDV,21.47,-2.15,148.69,"3,192",-320,DIVIDEND
2025-03-21,HDV,0.33,-0.03,148.69,49,-4,DIVIDEND
2025-03-21,SUSA,4.51,,148.69,671,,DIVIDEND
2025-03-25,VEU,3.99,-0.40,149.95,598,-60,DIVIDEND
2025-03-25,VYM,79.83,,149.95,"11,971",,DIVIDEND
2025-03-27,SIXG,0.03,,150.72,5,,DIVIDEND
2025-03-31,VOO,38.98,-3.90,149.42,"5,824",-583,DIVIDEND
2025-04-01,NKE,5.34,-0.53,149.18,797,-79,DIVIDEND
2025-04-03,BNDX,12.49,-1.25,146.14,"1,825",-183,DIVIDEND
2025-04-04,AGG,21.38,-2.14,145.21,"3,105",-311,DIVIDEND
2025-04-04,TLT,16.26,-1.63,145.21,"2,361",-237,DIVIDEND
2025-04-04,EMLC,28.11,,145.21,"4,082",,DIVIDEND
2025-05-05,BNDX,12.12,-1.21,143.87,"1,744",-174,DIVIDEND
2025-05-06,EMLC,28.13,,142.73,"4,015",,DIVIDEND
2025-05-06,AGG,21.12,-2.11,142.73,"3,014",-301,DIVIDEND
2025-05-06,TLT,16.36,-1.64,142.73,"2,335",-234,DIVIDEND
2025-06-04,BNDX,12.39,-1.24,144.19,"1,787",-179,DIVIDEND
2025-06-05,TLT,15.96,-1.60,143.27,"2,287",-229,DIVIDEND
2025-06-05,EMLC,27.02,,143.27,"3,871",,DIVIDEND
2025-06-05,AGG,21.23,-2.12,143.27,"3,042",-304,DIVIDEND
2025-06-09,SONY,3.52,-0.72,144.50,509,-104,DIVIDEND
2025-06-20,EWZ,46.37,-4.64,145.61,"6,752",-676,DIVIDEND
2025-06-20,EWS,34.89,-3.49,145.61,"5,080",-508,DIVIDEND
2025-06-20,EWZS,16.25,-1.63,145.61,"2,366",-237,DIVIDEND
2025-06-20,SUSA,4.22,,145.61,614,,DIVIDEND
2025-06-20,HDV,24.65,-2.47,145.61,"3,589",-360,DIVIDEND
2025-06-20,ICLN,12.84,-1.28,145.61,"1,870",-186,DIVIDEND
2025-06-20,EWS,0.35,-0.04,145.61,51,-6,DIVIDEND
2025-06-20,EEMV,35.33,-3.53,145.61,"5,144",-514,DIVIDEND
2025-06-20,EWZ,0.25,-0.03,145.61,36,-4,DIVIDEND
2025-06-20,EWZS,0.10,-0.01,145.61,15,-1,DIVIDEND
2025-06-20,EEMV,0.24,,145.61,35,,DIVIDEND
2025-06-20,IDRV,14.29,,145.61,"2,081",,DIVIDEND
2025-06-20,HDV,0.38,-0.04,145.61,55,-6,DIVIDEND
2025-06-23,EZA,0.40,-0.04,147.55,59,-6,DIVIDEND
2025-06-23,EZA,21.90,-2.19,147.55,"3,231",-323,DIVIDEND
2025-06-24,VEU,9.37,-0.94,144.97,"1,358",-136,DIVIDEND
2025-06-24,VEU,0.43,-0.04,144.97,62,-6,DIVIDEND
2025-06-24,VYM,80.93,,144.97,"11,732",,DIVIDEND
2025-06-26,SIXG,0.04,,144.44,6,,DIVIDEND
2025-07-01,NKE,5.34,-0.53,142.85,763,-76,DIVIDEND
2025-07-02,VOO,37.53,-3.75,144.15,"5,410",-541,DIVIDEND
2025-07-03,BNDX,12.08,-1.21,143.93,"1,739",-174,DIVIDEND
2025-07-07,BKCH,3.59,-0.36,145.56,523,-52,DIVIDEND
2025-07-07,AGG,21.00,-2.10,145.56,"3,057",-306,DIVIDEND
2025-07-07,BKCH,0.03,,145.56,4,,DIVIDEND
2025-07-07,EMLC,27.46,,145.56,"3,997",,DIVIDEND
2025-07-07,TLT,16.40,-1.64,145.56,"2,387",-239,DIVIDEND
2025-07-23,DIS,7.52,-0.75,146.28,"1,100",-110,DIVIDEND
2025-08-05,BNDX,12.44,-1.24,147.60,"1,836",-183,DIVIDEND
2025-08-06,TLT,16.52,-1.65,147.55,"2,438",-243,DIVIDEND
2025-08-06,EMLC,29.52,,147.55,"4,356",,DIVIDEND
2025-08-06,AGG,21.71,-2.17,147.55,"3,203",-320,DIVIDEND
2025-09-04,BNDX,12.68,-1.27,148.33,"1,881",-188,DIVIDEND
2025-09-05,EMLC,29.67,,147.98,"4,391",,DIVIDEND
2025-09-05,AGG,21.49,-2.15,147.98,"3,180",-318,DIVIDEND
2025-09-05,TLT,16.39,-1.64,147.98,"2,425",-243,DIVIDEND
2025-09-19,SUSA,5.25,,148.08,777,,DIVIDEND
2025-09-19,HDV,0.39,-0.04,148.08,58,-6,DIVIDEND
2025-09-19,HDV,25.64,-2.56,148.08,"3,797",-379,DIVIDEND
2025-09-23,VYM,78.28,-7.83,147.80,"11,570","-1,157",DIVIDEND
2025-09-23,VEU,7.39,-0.74,147.80,"1,092",-109,DIVIDEND
2025-09-23,VYM,0.77,,147.80,114,,DIVIDEND
2025-10-01,VOO,37.43,-3.74,147.11,"5,506",-550,DIVIDEND
2025-10-01,NKE,5.34,-0.53,147.11,786,-78,DIVIDEND
2025-10-03,BNDX,12.16,-1.22,147.35,"1,792",-180,DIVIDEND
2025-10-03,BNDX,0.01,,147.35,1,,DIVIDEND
2025-10-06,TLT,15.51,-1.55,150.04,"2,327",-233,DIVIDEND
2025-10-06,AGG,21.38,-2.14,150.04,"3,208",-321,DIVIDEND
2025-10-06,EMLC,0.12,,150.04,18,,DIVIDEND
2025-10-06,EMLC,27.65,-2.77,150.04,"4,149",-416,DIVIDEND
2025-11-05,BNDX,12.62,-1.26,153.73,"1,940",-194,DIVIDEND
2025-11-06,EMLC,28.59,,153.60,"4,391",,DIVIDEND
2025-11-06,TLT,16.24,-1.62,153.60,"2,494",-249,DIVIDEND
2025-11-06,AGG,21.49,-2.15,153.60,"3,301",-330,DIVIDEND
2025-12-03,EMLC,28.19,,155.37,"4,380",,DIVIDEND
2025-12-04,AGG,6.77,-0.68,154.77,"1,048",-105,DIVIDEND
